author,s_count,s_mean,s_std,s_min,s_25,s_50,s_75,s_max,comp,neg,neu,pos,rating
judson picco,11.0,6.02,2.11,0.8,4.7,7.1,7.3,7.6,-0.17,0.08,0.25,0.84,6.02
judy berman,1.0,7.6,,7.6,7.6,7.6,7.6,7.6,-0.04,0.08,0.24,0.89,7.6
julian kimble,5.0,6.98,0.71,6.1,6.5,7.0,7.4,7.9,-0.03,0.12,0.35,0.86,6.98
julianne escobedo shepherd,53.0,6.81,1.74,2.9,5.9,7.2,8.2,9.0,-0.12,0.1,0.29,0.84,6.81
kasia galazka,4.0,5.72,0.82,5.0,5.38,5.5,5.85,6.9,-0.07,0.12,0.34,0.83,5.72
katherine st asaph,3.0,6.6,0.52,6.0,6.45,6.9,6.9,6.9,-0.03,0.11,0.36,0.86,6.6
katherine st. asaph,63.0,6.68,0.87,4.0,6.0,6.8,7.3,8.6,-0.1,0.09,0.28,0.86,6.68
kathy iandoli,9.0,6.56,0.84,5.1,6.1,6.5,7.2,7.8,-0.07,0.11,0.31,0.86,6.56
keith brasel,1.0,7.0,,7.0,7.0,7.0,7.0,7.0,-0.14,0.09,0.29,0.83,7.0
kevin adickes,33.0,6.43,1.83,2.8,5.5,6.8,8.0,9.2,-0.08,0.1,0.3,0.85,6.43
kevin lozano,53.0,6.94,1.16,3.5,6.0,7.1,7.9,8.7,-0.09,0.09,0.27,0.86,6.94
kevin lozano ,1.0,6.9,,6.9,6.9,6.9,6.9,6.9,-0.01,0.11,0.31,0.86,6.9
kim fing shannon,1.0,5.9,,5.9,5.9,5.9,5.9,5.9,-0.19,0.07,0.25,0.85,5.9
kim kelly,65.0,7.27,0.73,5.5,6.6,7.4,7.9,8.4,-0.18,0.1,0.3,0.82,7.27
kim shannon,6.0,7.32,0.53,6.7,6.93,7.3,7.6,8.1,-0.15,0.09,0.25,0.84,7.32
kris ex,16.0,7.63,1.35,5.0,6.9,8.0,8.43,10.0,-0.09,0.1,0.31,0.86,7.63
kris ex ,1.0,8.6,,8.6,8.6,8.6,8.6,8.6,-0.08,0.06,0.26,0.9,8.6
kristin sage rockermann,21.0,6.45,1.25,3.8,5.9,6.5,7.0,8.5,-0.12,0.08,0.23,0.86,6.45
kristin sage rockermann & chip chanko,2.0,8.5,0.0,8.5,8.5,8.5,8.5,8.5,-0.01,0.16,0.38,0.84,8.5
kyle kramer,15.0,6.67,0.73,5.1,6.25,6.6,7.2,7.6,-0.03,0.13,0.4,0.85,6.67
kyle reiter,9.0,6.22,2.27,2.9,4.9,6.9,7.3,9.0,-0.11,0.1,0.29,0.86,6.22
larry fitzmaurice,281.0,6.93,1.13,2.0,6.2,7.1,7.8,9.1,-0.09,0.1,0.32,0.86,6.93
laura snapes,117.0,6.97,1.3,2.6,6.2,7.4,7.8,10.0,-0.13,0.1,0.32,0.84,6.97
lawrence burney,3.0,6.7,0.66,6.0,6.4,6.8,7.05,7.3,-0.2,0.1,0.28,0.83,6.7
leonard pierce,3.0,7.5,0.35,7.1,7.4,7.7,7.7,7.7,-0.15,0.11,0.33,0.84,7.5
leor galil,1.0,7.3,,7.3,7.3,7.3,7.3,7.3,0.01,0.09,0.34,0.91,7.3
liam singer,35.0,7.72,0.8,5.3,7.25,7.8,8.25,9.3,-0.07,0.1,0.31,0.87,7.72
lindsay hood,4.0,6.43,0.96,5.0,6.35,6.8,6.88,7.1,-0.06,0.12,0.3,0.84,6.43
lindsay zoladz,137.0,7.32,0.98,4.3,6.7,7.4,7.9,9.2,-0.08,0.11,0.33,0.85,7.32
lisa blanning,2.0,7.1,0.14,7.0,7.05,7.1,7.15,7.2,-0.04,0.09,0.25,0.87,7.1
liz colville,62.0,6.39,1.43,1.5,5.72,6.7,7.38,8.6,-0.06,0.11,0.34,0.85,6.39
liz pelly,3.0,7.37,0.32,7.0,7.25,7.5,7.55,7.6,-0.1,0.11,0.38,0.83,7.37
loren ludwig & jascha hoffman,1.0,8.4,,8.4,8.4,8.4,8.4,8.4,-0.08,0.09,0.26,0.88,8.4
louis pattison,20.0,7.16,0.66,6.0,6.75,7.05,7.7,8.5,-0.1,0.08,0.27,0.87,7.16
luke buckman,19.0,7.98,1.4,5.0,7.1,8.2,9.05,10.0,-0.09,0.08,0.22,0.88,7.98
malcolm seymour iii,10.0,6.09,2.41,2.0,4.22,6.25,8.12,9.4,-0.09,0.09,0.24,0.86,6.09
marc hogan,541.0,6.54,1.53,0.9,5.9,6.8,7.6,9.2,-0.08,0.11,0.3,0.85,6.54
marc masters,419.0,7.46,0.65,4.3,7.1,7.5,7.8,9.8,-0.07,0.1,0.28,0.86,7.46
marcus j. moore,44.0,7.16,0.93,3.5,6.88,7.25,7.52,9.4,-0.07,0.11,0.33,0.85,7.16
marcus k. dowling,4.0,7.15,0.1,7.0,7.15,7.2,7.2,7.2,-0.07,0.11,0.37,0.87,7.15
maria sherman,1.0,7.0,,7.0,7.0,7.0,7.0,7.0,-0.09,0.11,0.23,0.85,7.0
